DEBUG: General     , 1625325259293> LoggerManager.init                  > Initializing...
LOG  : General     , 1625325259331> cachedir set to "C:\Users\Home\Zomboid"
LOG  : General     , 1625325259339> 04-07-2021 00:14:19
LOG  : General     , 1625325259340> cachedir is "C:\Users\Home\Zomboid"
LOG  : General     , 1625325259340> LogFileDir is "C:\Users\Home\Zomboid\Logs"
LOG  : General     , 1625325259341> ===== System specs =====
LOG  : General     , 1625325259341> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1625325259342> Processor: Intel64 Family 6 Model 94 Stepping 3, GenuineIntel
LOG  : General     , 1625325259342> Processor cores: 4
LOG  : General     , 1625325259342> Available processors (cores): 4
LOG  : General     , 1625325259343> Memory free: 1740.125 MB
LOG  : General     , 1625325259343> Memory max: 2014.75 MB
LOG  : General     , 1625325259343> Memory  total available to JVM: 1766.75 MB
LOG  : General     , 1625325259344> C:\, Total: 110.37643 GB, Free: 16.790974 GB
LOG  : General     , 1625325259345> D:\, Total: 931.51074 GB, Free: 391.21207 GB
LOG  : General     , 1625325259566> Mobo = [Product=B150M-DS3H-CF]
LOG  : General     , 1625325259791> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=3301,Name=Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz]
LOG  : General     , 1625325260011> Graphics = [AdapterRAM=3221225472,DriverVersion=30.0.14.7111,Name=NVIDIA GeForce GTX 1060 3GB]
LOG  : General     , 1625325260224> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296Ț]
LOG  : General     , 1625325260433> Sound = { [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)] }
LOG  : General     , 1625325260641> Memory RAM = { [Capacity=8589934592,Manufacturer=Samsung], [Capacity=8589934592,Manufacturer=Samsung] }
LOG  : General     , 1625325260641> ========================
LOG  : General     , 1625325260642> -- listing properties --
LOG  : General     , 1625325260642> java.runtime.name=Java(TM) SE Runtime Environment
LOG  : General     , 1625325260642> sun.boot.library.path=D:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1625325260643> java.vm.version=25.121-b13
LOG  : General     , 1625325260643> user.country.format=US
LOG  : General     , 1625325260643> java.vm.vendor=Oracle Corporation
LOG  : General     , 1625325260644> java.vendor.url=http://java.oracle.com/
LOG  : General     , 1625325260644> path.separator=;
LOG  : General     , 1625325260644> java.vm.name=Java HotSpot(TM) 64-Bit Server VM
LOG  : General     , 1625325260645> file.encoding.pkg=sun.io
LOG  : General     , 1625325260645> user.script=
LOG  : General     , 1625325260645> user.country=KR
LOG  : General     , 1625325260646> sun.os.patch.level=
LOG  : General     , 1625325260646> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1625325260646> user.dir=D:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1625325260647> java.runtime.version=1.8.0_121-b13
LOG  : General     , 1625325260647> java.awt.graphicsenv=sun.awt.Win32GraphicsEnvironment
LOG  : General     , 1625325260647> java.endorsed.dirs=D:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1625325260648> os.arch=amd64
LOG  : General     , 1625325260648> java.io.tmpdir=C:\Users\Home\AppData\Local\Temp\
LOG  : General     , 1625325260649> line.separator=

LOG  : General     , 1625325260649> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1625325260649> user.variant=
LOG  : General     , 1625325260650> os.name=Windows 10
LOG  : General     , 1625325260650> sun.jnu.encoding=MS949
LOG  : General     , 1625325260650> zomboid.steam=1
LOG  : General     , 1625325260651> java.library.path=natives/;.
LOG  : General     , 1625325260651> java.specification.name=Java Platform API Specification
LOG  : General     , 1625325260651> java.class.version=52.0
LOG  : General     , 1625325260651> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1625325260652> zomboid.znetlog=1
LOG  : General     , 1625325260652> os.version=10.0
